Image_Name,Area,Elongation,Compactness,Circularity,Eccentricity,Classification
153956040-153956058-001.bmp,2080.0,1.183673469387755,1.1808033417522135,0.8468810720979868,0.5433064183530948,0
153956040-153956058-002.bmp,2301.0,1.6511627906976745,1.35146382443915,0.7399384148628577,0.8173513148980572,0
153956040-153956058-003.bmp,2097.0,1.4,1.2573345582678026,0.7953332654577427,0.7152621501378117,0
153956040-153956058-004.bmp,2256.5,1.4893617021276595,1.3102493932348906,0.7632134807031568,0.7969568843486606,0
153956040-153956058-005.bmp,1552.0,1.35,1.2536940779681565,0.7976427563737761,0.707905732519521,0
153956040-153956058-006.bmp,1123.5,1.1538461538461537,1.3058696488666153,0.7657732154720922,0.6730192243760366,0
153956040-153956072-001.bmp,2262.0,1.6511627906976745,1.3196921862846185,0.757752459545388,0.8104192662890481,0
153956040-153956072-002.bmp,2412.0,1.1666666666666667,1.2035290884954766,0.8308897637447991,0.5603818879521139,0
153956040-153956072-003.bmp,1780.5,1.9736842105263157,1.6262516652514887,0.6149109767985121,0.9076094921495237,0
153956040-153956072-004.bmp,4278.0,1.8275862068965518,1.63254600922103,0.6125401638616914,0.8649760130593293,0
153956444-153956458-001.bmp,1197.5,1.588235294117647,1.8815365195161846,0.5314805158589951,0.8374089547058334,0
153956444-153956458-002.bmp,1227.5,1.3333333333333333,1.573264566853404,0.635621001749275,0.813044796623057,0
153956444-153956458-003.bmp,1443.5,1.435897435897436,1.6138021258068118,0.6196546553066754,0.7883971515218754,0
153956444-153956458-004.bmp,1739.0,1.0833333333333333,1.1839895590441945,0.8446020426119935,0.37714048258445787,0
153958154-153958168-001.bmp,1614.0,1.3170731707317074,1.3376118504928642,0.7476010321167043,0.7271077895850229,0
153958154-153958168-003.bmp,1152.5,1.0769230769230769,1.3651572469517201,0.7325163472800769,0.42871288864285073,0
153958154-153958179-001.bmp,1026.0,1.6551724137931034,1.3222691954125918,0.7562756536031733,0.8279160220208333,0
153958154-153958179-002.bmp,932.0,1.1764705882352942,1.2755489385204117,0.7839761923677833,0.5059307260470225,0
153958154-153958194-001.bmp,1393.0,1.1219512195121952,1.149992884619414,0.8695705976745642,0.4488718030747034,0
153958154-153958194-002.bmp,988.5,1.1470588235294117,1.1429654694788247,0.8749170702908332,0.4584938536441402,0
153958154-153958194-003.bmp,1035.5,1.2571428571428571,1.3247870944714886,0.7548382711253242,0.65423203568003,0
153958154-153958194-004.bmp,740.5,1.5925925925925926,1.3961862915971064,0.7162367987842752,0.7646867975573248,0
153958154-153958211-001.bmp,980.5,1.1714285714285715,1.2406742933288444,0.806013314998981,0.5558888427981138,0
153958154-153958248-002.bmp,1032.5,1.625,1.470428678182427,0.6800737872142726,0.8225774213578845,0
153958154-153958248-003.bmp,1123.0,2.1785714285714284,1.6494546045662204,0.6062610012010508,0.9181164155456817,0
